类型,应用,地址信息,备注,,,,,,,,,,,,,,,,,,,,,,,
公共组件,nacos,http://192.168.13.10:8848/nacos     没有密码,"部署目录：/data1/semptian/service/nacos
,远程监控服务,192.168.13.9:8847/net_monitor_remote," 部署目录：/data1/semptian/service/deye-nms-monitor-remote-v6.4
启动命令：sh /data1/semptian/service/deye-nms-monitor-remote-v6.4/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-nms-monitor-remote-v6.4/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,监控入库服务,192.168.13.9:8857/net_monitor_load," 部署目录：/data1/semptian/service/deye-nms-monitor-load-v6.4
启动命令：sh /data1/semptian/service/deye-nms-monitor-load-v6.4/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-nms-monitor-load-v6.4/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,告警服务,192.168.13.9:8837/net_alarm," 部署目录：/data1/semptian/service/deye-nms-alarm-v6.4
启动命令：sh /data1/semptian/service/deye-nms-alarm-v6.4/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-nms-alarm-v6.4/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,网管web,192.168.13.9:8867/net_management," 部署目录：/data1/semptian/service/deye-nms-web-v6.4
启动命令：sh /data1/semptian/service/deye-nms-web-v6.4/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-nms-web-v6.4/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,网管前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
NF信息中心,后端,192.168.13.8:8085/nf-info-center," 部署目录：/data1/semptian/service/deye-nf-info-center-v6.4.8
启动命令：sh /data1/semptian/service/deye-nf-info-center-v6.4.8/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-nf-info-center-v6.4.8/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
数字资产大屏,数字资产大屏后端,192.168.13.7," 部署目录：/data1/semptian/service/deye-net-management-screen-web-v6.4.8.01
启动命令：sh /data1/semptian/service/deye-net-management-screen-web-v6.4.8.01/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-net-management-screen-web-v6.4.8.01/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,数字资产大屏前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
门户,门户web,"192.168.13.9:8090
CBP登录url：http://192.168.13.10:8104/#/home    "," 部署目录：/data1/semptian/service/deye-portal-system-v6.2.2.f
启动命令：sh /data1/semptian/service/deye-portal-system-v6.2.2.f/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-portal-system-v6.2.2.f/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
