局点,hostname,ip,环境信息,对接设备IP（NFS或者FTP）,对接设备目录地址,,,
MC（A-1）,,192.168.13.77,"部署目录：/data/semptian/deye-nf-rules-v6.2.3r0.1.1
启动命令：sh /data/semptian/deye-nf-rules-v6.2.3r0.1.1/bin/start.sh
停止命令：sh /data/semptian/deye-nf-rules-v6.2.3r0.1.1/bin/stop.sh",,,,,
MC（A-1）,,192.168.13.77,"部署目录：/data/semptian/deye-nf-agent-v6.2.3r0.1.6
启动命令：sh /data/semptian/deye-nf-agent-v6.2.3r0.1.6/bin/start.sh
停止命令：sh /data/semptian/deye-nf-agent-v6.2.3r0.1.6/bin/stop.sh",,,,,
MC（A-1）,NF特定目标nf-agent,192.168.13.25,"部署目录：/data/semptian/deye-nf-agent-v6.2.3r0.1.6
启动命令：sh /data/semptian/deye-nf-agent-v6.2.3r0.1.6/bin/start.sh
停止命令：sh /data/semptian/deye-nf-agent-v6.2.3r0.1.6/bin/stop.sh",,,,,
Anaba（B1）,NF特定目标nf-agent,192.168.54.35,"部署目录：/data/semptian/deye-nf-agent-v6.2.3r0.1.6
启动命令：sh /data/semptian/deye-nf-agent-v6.2.3r0.1.6/bin/start.sh
停止命令：sh /data/semptian/deye-nf-agent-v6.2.3r0.1.6/bin/stop.sh",,,,,
Oran（C1）,NF特定目标nf-agent,192.168.94.23,"部署目录：/data/semptian/deye-nf-agent-v6.2.3r0.1.6
启动命令：sh /data/semptian/deye-nf-agent-v6.2.3r0.1.6/bin/start.sh
停止命令：sh /data/semptian/deye-nf-agent-v6.2.3r0.1.6/bin/stop.sh",,,,,
MC（A-1）,dpa-b1pr-s1,192.168.13.26,"部署目录：/data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11/
侦听目录：/data1/ftp/pr/",,,,,
MC（A-1）,dpa-b1pr-s2,192.168.13.27,"部署目录：/data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11/
侦听目录：/data1/ftp/pr/",,,,,
MC（A-1）,dpa-c1pr-s1,192.168.13.28,"部署目录：/data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11/
侦听目录：/data1/ftp/pr/",,,,,
MC（A-1）,dpa-c1pr-s2,192.168.13.29,"部署目录：/data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11/
侦听目录：/data1/ftp/pr/",,,,,
Anaba（B1）,"b1nf-atdca-s1到b1nf-atdca-s7
NF行为和安全日志采集适配器+压缩服务+摆渡服务",192.168.54.21到192.168.54.27,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-action/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-action/bin/start.sh
停止命令：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-action/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-ferry-v6.2.3.4/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-action/bin/stop.sh
侦听目录：/data/semptian/data/dc_log","192.168.54.55(21-24)
192.168.54.56(25-27)",/data/pr-collect/analysis/zip,,,
Anaba（B1）,"b1nf-stdca-s1到b1nf-stdca-s7
NF统计日志采集适配器+压缩服务+摆渡服务",192.168.54.28到192.168.54.34,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-statistic/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-statistic/bin/start.sh
停止命令：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-statistic/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-statistic/bin/stop.sh
侦听目录：/data/semptian/data/dc_log","192.168.54.57(28-31)
192.168.54.59(32-34)",/data/pr-collect/analysis/zip,,,
Oran（C1）,"c1nf-atdca-s1到c1nf-atdca-s5
NF行为和安全日志采集适配器+压缩服务+摆渡服务",192.168.94.13到192.168.94.17,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-action/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-action/bin/start.sh
停止命令：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-action/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-ferry-v6.2.3.4/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-action/bin/stop.sh
侦听目录：/data/semptian/data/dc_log","192.168.94.47
192.168.94.48","/data/pr-collect/analysis/zip
/data/pr-collect/analysis/zip/action",,,
Oran（C1）,"c1nf-stdca-s1到c1nf-stdca-s5
NF统计日志采集适配器+压缩服务+摆渡服务",192.168.94.18到192.168.54.22,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-statistic/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-statistic/bin/start.sh
停止命令：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-statistic/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-statistic/bin/stop.sh
侦听目录：/data/semptian/data/dc_log","192.168.94.48
192.168.94.50","/data/pr-collect/analysis/zip/statistic
/data/pr-collect/analysis/zip",,,
